Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj1_Feat12,Obj1_Feat13,Obj1_Feat14,Obj1_Feat15,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Obj2_Feat12,Obj2_Feat13,Obj2_Feat14,Obj2_Feat15,Collision,pred
50.40269741636568,0,B,0,5,1,B,0,B,0,4,B,B,C,B,91.05325997883584,0,B,1,3,5,C,1,A,1,2,C,C,B,D,Нет,0
81.94399288758811,1,D,0,4,4,D,1,C,0,3,B,A,A,B,1.7021667468888113,1,D,0,1,2,C,0,C,1,2,A,C,B,A,Нет,0
28.869103309515697,1,A,1,5,1,C,1,A,0,5,A,A,D,D,21.4366192640857,1,D,0,4,2,B,0,D,1,4,D,D,B,C,Нет,0
75.3600188824706,1,D,0,2,3,A,0,C,0,4,D,B,A,A,32.619689639050485,1,C,0,3,2,D,0,D,1,4,D,B,B,D,Нет,0
63.35591616328205,0,A,1,5,1,B,1,D,0,5,B,B,B,B,69.2301951578589,0,A,1,5,2,C,1,D,1,2,A,D,B,A,Да,0
83.20007371363849,1,C,0,3,1,B,1,A,0,4,D,D,A,B,31.4386021044176,1,D,1,3,4,C,1,D,1,4,C,C,C,B,Нет,0
28.913237873818844,1,B,1,1,3,C,1,B,0,4,A,D,C,A,58.74877932824268,0,C,0,5,2,D,0,B,1,5,D,A,C,A,Нет,0
33.97447715573231,0,D,1,1,5,B,1,C,0,5,C,D,B,D,5.857212058900075,1,B,0,2,4,D,0,D,0,2,C,B,C,A,Нет,0
18.784647851458903,0,B,1,2,2,C,0,B,0,3,A,A,C,C,39.11798791821182,0,A,0,2,3,A,1,A,1,1,C,C,D,A,Нет,0
77.90154298229783,1,D,0,1,2,A,0,C,0,2,C,C,C,A,6.207093152104203,0,A,0,2,5,D,0,A,1,4,A,D,A,A,Нет,0
43.62883570318874,1,A,0,4,2,C,0,A,1,2,C,B,A,A,95.25866500148976,0,A,0,2,1,B,1,D,1,5,D,D,D,C,Нет,0
25.60267650674913,1,C,1,4,3,B,0,A,0,1,A,D,C,C,17.974922953741935,0,D,1,5,2,B,0,D,1,2,D,D,D,D,Нет,0
12.86923602045298,0,A,0,1,1,A,1,B,1,1,B,A,C,C,30.81990604480247,1,A,1,1,2,C,0,A,1,5,B,C,D,D,Нет,0
7.464009474173372,0,A,1,4,4,D,1,A,1,1,C,C,B,D,38.57989628860522,0,B,0,3,4,A,1,C,0,1,B,D,B,A,Нет,0
90.27576086768548,0,C,0,3,2,B,0,B,1,4,B,D,C,A,14.407486895135548,1,A,0,5,4,C,0,A,0,2,A,A,A,A,Нет,0
19.420451799843384,1,B,0,3,3,C,0,A,0,4,D,D,A,B,43.12653846311618,0,D,1,2,3,A,0,D,1,3,C,B,C,A,Нет,0
86.55658630949857,0,C,1,2,4,B,0,A,0,3,A,B,B,B,90.32174828303978,0,B,0,4,2,D,0,C,1,1,D,B,B,A,Нет,0
34.195866171559565,0,C,0,4,1,C,1,C,1,4,B,C,D,D,77.12962028560463,0,A,1,4,2,B,1,A,1,5,B,A,D,C,Нет,0
52.97416919522507,0,D,0,2,1,C,0,C,1,5,A,B,C,A,37.3632996716091,1,A,1,2,2,C,0,C,0,4,B,B,A,A,Нет,0
55.01287178082291,1,D,0,5,5,B,1,B,1,1,C,B,A,B,0.7659898306754176,0,B,1,3,3,B,1,C,0,1,D,C,C,A,Нет,0
1.744457329180804,1,D,0,1,5,B,0,A,1,3,D,A,D,A,85.87343239480005,0,D,1,3,4,D,1,D,1,2,A,A,A,B,Нет,0
75.64139872557436,0,D,0,3,4,D,1,A,0,5,C,D,D,A,56.49007798189443,0,B,1,5,4,B,0,A,1,2,A,A,A,D,Нет,0
14.442244211238377,0,D,1,4,4,A,0,C,0,3,C,D,D,B,93.65257740077374,0,B,0,4,5,C,0,B,1,2,A,B,C,B,Нет,0
88.71566043977009,0,D,0,3,3,A,0,B,0,4,D,D,D,D,7.502039214416434,0,B,0,1,1,C,0,A,1,1,A,C,B,D,Нет,0
83.68065760984207,1,A,0,4,3,C,0,C,1,2,D,C,C,D,59.5609448325759,1,D,1,2,1,A,0,D,0,1,A,A,D,A,Нет,0
3.13131029526893,1,C,0,4,3,C,1,A,1,2,B,D,A,B,34.59765388873477,0,A,1,5,1,C,0,A,1,1,B,A,C,B,Нет,0
21.04453799154545,0,C,1,3,5,C,0,C,0,1,A,B,B,D,44.8584585264743,0,B,1,3,5,A,0,A,1,4,A,B,D,C,Да,0
96.75327483718958,1,B,1,3,2,A,1,B,1,1,A,D,D,B,29.93024384977504,1,B,0,2,3,A,1,C,0,3,B,A,D,C,Нет,0
40.4160538543776,1,A,0,2,3,C,1,D,0,5,A,A,D,C,40.83748627254813,1,B,0,3,3,A,0,B,1,4,B,C,C,B,Нет,0
95.8821489901448,0,D,0,4,5,B,1,B,1,5,A,D,C,B,31.86471141570859,0,B,0,1,3,B,1,D,0,3,A,B,A,D,Нет,0
52.83770445654723,0,A,0,2,2,A,1,A,0,2,C,A,B,D,24.207524040303,1,A,0,2,3,B,1,D,0,5,A,C,A,D,Нет,0
89.23255234728788,1,C,0,4,2,C,1,C,1,1,D,D,B,A,67.795846540955,1,A,1,1,4,C,0,B,0,5,B,B,B,A,Нет,0
77.66175650823122,0,A,1,4,3,B,0,C,1,5,B,A,A,D,89.73380107194889,0,C,1,3,2,D,1,B,0,4,C,A,A,A,Нет,0
30.782407424790115,0,A,0,5,2,A,0,C,1,4,B,D,A,C,84.69299798703983,1,B,0,5,4,D,1,B,0,5,D,B,B,A,Нет,0
