Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Collision,pred
B,0,56.27293604853612,24.93388454759127,3,D,0,54.97933789133751,18.633651587924728,4,Нет,0
D,0,39.66333372340569,33.73265395617848,4,B,1,85.58427993228989,31.09694678466266,4,Нет,0
B,0,62.00082316404269,82.87702253844809,2,C,1,8.762664344543957,16.706690990987973,4,Нет,0
D,1,72.66466207193287,6.299339147720051,4,B,1,53.086907729544855,99.69778015285574,5,Нет,0
D,1,19.740414390128446,78.32468946367568,4,C,0,74.58441531206155,92.15371380866092,2,Нет,0
C,0,61.54737074759693,49.42096295865549,1,D,1,69.1478455326705,15.160668818892264,4,Нет,0
B,0,21.66729508111346,86.47626590789575,3,C,0,23.194545834156543,54.3474063143069,2,Нет,0
A,0,10.373440194113748,2.563419849037496,4,A,0,29.763143840236072,90.9571225744142,5,Да,1
C,0,81.77582342141791,24.88166780541142,5,C,0,45.28589245861021,82.03098031994904,3,Да,1
B,1,0.3539065205528047,77.8068593828326,1,C,1,57.80901474470227,30.383966650324325,5,Нет,0
C,0,4.847763487397172,42.86274565796088,5,C,0,45.245817566720106,81.50192191010954,1,Да,1
B,1,16.886265774247335,52.22700701208771,4,C,0,54.46320155849192,73.73394315150117,3,Нет,0
D,1,83.23082898336001,94.69812159183044,4,C,0,78.04636274773465,34.19339153617735,2,Нет,0
B,1,73.4422721824027,55.89893059932432,4,B,1,79.36725390289486,78.6581455899125,1,Да,0
C,1,29.488719894746573,67.73474684917997,3,B,0,21.245448563443336,38.8526537590549,2,Нет,0
D,0,97.56842709323747,29.610552644649147,3,A,0,94.58751550571868,54.14258431235853,5,Нет,0
D,1,32.4689399702181,25.39902203358129,2,C,0,70.92739656385852,93.32889368690157,4,Нет,0
B,1,40.59403902261352,38.75397224716802,5,C,0,8.356818490835327,4.299061642153279,1,Нет,0
D,1,42.22673627081293,3.105079180883785,4,B,1,50.46781869616858,72.38782149065986,4,Да,0
D,0,20.77849470402741,92.9131190637882,4,C,0,4.963620439694017,49.80701344883537,5,Нет,1
A,1,58.00386094609714,95.07124227564142,2,D,1,15.784216218116445,92.35694683848476,3,Нет,0
A,1,85.94821973110018,56.20398112682252,2,A,1,2.063490814604596,76.94837159033997,2,Да,1
B,0,25.388917623020347,65.14288908447976,4,A,0,26.955537680833263,89.50273342099806,2,Нет,0
D,0,10.558828068492632,39.97059168165925,2,D,0,12.066140551344027,31.13079082665308,1,Да,0
D,1,81.93968058350261,23.02455791951007,5,A,0,90.96498098541964,55.762726419259614,2,Нет,0
B,1,43.45113643926212,24.180844940108248,1,A,1,32.02909334439722,34.647335910009424,5,Нет,0
D,0,18.2503548581102,4.009668487874718,1,B,1,74.70159575008873,85.06090460189932,1,Нет,0
D,1,39.56805783072451,15.39756684345911,1,A,1,87.03504187088888,16.956902609200696,4,Нет,0
D,0,64.52631289546125,28.590378157807173,1,C,1,46.17560416541996,1.048629215800334,5,Нет,0
B,1,76.0587324684581,66.52244256144039,1,C,0,12.87362954338681,59.090744217117205,3,Нет,0
A,1,94.87872668182423,28.449081100048843,1,C,1,63.48442589942373,86.86065547976287,1,Да,0
C,0,49.9137248695743,39.95108529427706,2,A,1,6.009394262637658,38.50775257250297,3,Нет,0
B,0,46.08311626450825,9.318931641392991,1,A,0,70.64629069218262,63.213359729850815,3,Нет,0
B,0,49.21433386870958,9.038936547479503,1,D,1,22.47590943907272,23.73699062401769,4,Нет,0
